timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,8102.029269999998,0.0,4200.577140000002,18449.53079598028,0.0,10800.0,0.0,4258.466999999997,0.0,4750.737397184315
2,8102.029269999998,0.0,4200.577140000002,17596.271908343133,0.0,10800.0,0.0,4258.466999999997,0.0,4860.871222361802
3,8102.029269999998,24.428812529547713,4200.577140000002,17752.43876570505,0.0,10800.0,0.0,4258.466999999997,0.0,5052.568818188012
4,8102.029269999998,612.6852795213503,4200.577140000002,18543.328758159252,17.42121838401697,10800.0,0.0,4258.466999999997,0.0,4924.106684659348
5,8102.029269999998,2865.7,4200.577140000002,19953.729048602465,0.0,10800.0,0.0,4258.466999999997,0.0,4601.768534553363
6,8102.029269999998,11297.673048376615,4200.577140000002,20203.6,15.8,10800.0,0.0,4258.466999999997,0.0,4328.286157355979
7,8102.029269999998,16645.51843908082,4200.577140000002,20128.300000000003,206.0087210224182,10800.0,0.0,4258.466999999997,0.0,4284.337640324162
8,8102.029269999998,18552.47868765803,4200.577140000002,20128.300000000003,1147.984204413913,10800.0,51.47715935154429,4213.3669999999975,95.59441911123963,4117.061593657591
9,8102.029269999998,18553.68307032617,4200.577140000002,20128.300000000003,973.1471070011469,10800.0,64.84219254219283,4213.3669999999975,995.3958561424325,3741.950738154093
10,8102.029269999998,18189.961233299742,4200.577140000002,20128.300000000003,648.3981476800955,10800.0,80.0,4213.3669999999975,2732.7864891959157,3170.016132656695
11,8102.029269999998,17640.49005595821,4200.577140000002,20128.300000000003,435.8,10800.0,49.75666394185737,4213.3669999999975,4476.246609177103,2621.306529229492
12,8102.029269999998,16841.402803449055,4200.577140000002,20128.300000000003,145.8,10800.0,0.0,4258.466999999997,5688.626622984735,2075.217367998297
13,8102.029269999998,16182.884738148077,4200.577140000002,20203.6,145.8,10800.0,0.0,4258.466999999997,5829.742194053696,2059.836793063689
14,8102.029269999998,16024.07238457238,4200.577140000002,20203.6,101.48990888321434,10800.0,0.0,4258.466999999997,4400.378022580886,2305.730989393971
15,8102.029269999998,17542.821118054497,4200.577140000002,20128.300000000003,197.70000000000002,10800.0,0.0,4222.534493617526,2136.4593985496126,2451.858399106474
16,8102.029269999998,18346.94829212496,4200.577140000002,20128.300000000003,435.8,10800.0,78.17979758360298,4213.3669999999975,345.9607548787725,2914.086413850376
17,8102.029269999998,18750.685644064524,4200.577140000002,20128.300000000003,2596.6584379773235,10800.0,80.0,4213.3669999999975,4.552115195773325,3795.4758567646004
